wallet,name,unrealizedPnl,realizedProfit,totalProfit,balanceUsd,position,buyAmount,buyPrice,sellAmount,sellPrice,totalBuyTxn,totalSellTxn
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,PEE14h,Sell All,-$287.48-81%,-$287.48-81%,$00,0%,354.94,0.0107,67.46,0.002,1,1
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,SOL15h,$00%,HODL,$00%,$0.9860.004,100%,0,0,0,0,0,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,KERMIT2d,-$18.4-98.9%,HODL,-$18.4-98.9%,$0.21148.9K,100%,18.61,0.0001,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,HYPEHIVE2d,-$17.46-99.2%,HODL,-$17.46-99.2%,"$0.146,625.39",100%,17.6,0.0026,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,COTD4d,-$6.57-53.5%,-$42.88-40%,-$49.45-41.4%,"$5.7123,225.02",10.27%,119.49,0.0005,64.34,0.0003,2,3
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,POTUS4d,-$199.54-100%,HODL,-$199.54-98.6%,$0.002154.71,100%,199.54,1.2897,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,SOM7d,Sell All,+$150.42+17.5%,+$150.42+17.5%,$00,0%,860.48,0.0002,"1,010.9",0.0002,1,6
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,MEMEOS10d,Sell All,-$13.32-6.8%,-$13.32-6.8%,$00,0%,196.02,0.0024,182.71,0.0022,1,1
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,MIKO11d,-$6.94-100%,-$452.14-91.4%,-$459.08-91.5%,$0.003565.36,1.39%,501.54,0.0122,42.46,0.001,2,3
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,FREELUIGI11d,Sell All,+$70.24+48.3%,+$70.24+48.3%,$00,0%,145.4,0.0004,215.64,0.0007,1,4
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,DAPE12d,-$179.27-100%,HODL,-$179.27-100%,"$043,509.43",100%,179.27,0.0041,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,ALARMO15d,Sell All,-$45.9-24%,-$45.9-24%,$00,0%,191.34,0.0069,145.43,0.0052,1,3
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,RIF17d,-$161.04-100%,HODL,-$161.04-100%,"$022,488.88",100%,161.04,0.0071,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,CHILLXRP21d,Sell All,$00%,$00%,$00,100%,0,0,"2,606.9",0.0055,0,4
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,RPS24d,Sell All,-$11.92-92%,-$11.92-92%,$00,0%,12.95,0.9148,1.03,0.073,1,1
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,HAMLET27d,-$344.56-100%,HODL,-$344.56-100%,"$0.00519,158.07",100%,344.57,0.0179,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,NALA28d,-$15.57-100%,HODL,-$15.57-100%,"$0.0033,333.37",100%,15.57,0.0046,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,HZI29d,-$25.35-100%,HODL,-$25.35-100%,"$017,941.24",100%,25.35,0.0014,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,uwu31d,Sell All,-$354.6K-89%,-$354.6K-89%,$00,0%,398.4K,0.1522,43.8K,0.0167,1,22
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,NACY31d,-$16.66-100%,HODL,-$16.66-100%,$031.18,100%,16.66,0.5342,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,JINO31d,Sell All,-$71.28-13%,-$71.28-13%,$00,0%,550.24,0.0004,478.96,0.0003,1,3
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,NAILOONG32d,"-$1,327.46-100%",HODL,"-$1,327.46-100%","$0.00837,304.69",100%,"1,327.47",0.0355,0,0,1,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,PECMAN33d,-$554.42-99.9%,+$7.85+0.8%,-$546.57-36.5%,"$0.32527,313.76",37.05%,"1,497.37",0.0203,950.48,0.0204,1,2
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,ISS34d,Sell All,$00%,$00%,$00,100%,0,0,52.88,0.001,0,1
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,SATOSHI35d,Sell All,+$73.25+9.8%,+$73.25+9.8%,$00,0%,745.43,0.0006,818.67,0.0006,1,2
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,SOWA37d,Sell All,-$821.23-64.6%,-$821.23-64.6%,$00,0%,"1,271.78",0.0016,450.55,0.0006,1,2
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,GTA37d,Sell All,+$264.47+63.4%,+$264.47+63.4%,$00,0%,417.45,0.0049,681.92,0.0081,1,3
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,SCHIZO38d,Sell All,-$283.17-35.1%,-$283.17-35.1%,$00,0%,805.6,0.0166,522.43,0.0108,1,2
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,LLOYD39d,$00%,-$809.14-83.9%,-$809.14-83.9%,$00,0%,"1,520.59",0.0212,155.23,0.0034,0,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,SHIBO42d,$00%,-$444.28-85.7%,-$444.28-85.7%,$00,0%,518.51,0.0203,74.23,0.0029,0,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,HER44d,$00%,-$393.5-69.8%,-$393.5-69.8%,$00,0%,610.9,0.0052,170.05,0.0015,0,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,SOLO46d,$00%,$00%,$00%,$00,0%,18.35,0.0104,0,0,0,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,CAP48d,$00%,$00%,$00%,$00,100%,0,0,0.081,0.0₁₀806,0,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,--,$00%,$00%,$00%,$00,100%,0,0,0,0,0,0
11ebHEkzHYJ91D4ERB2XaVJx8R7bU4rafPTzUG2ioSk,COTD4d,-$6.57-53.5%,-$49.45-41.4%,"$5.7123,225.02",10.27%,$119.49$0.0005,64.34,0.0003,--,--,Share,--
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,INDIACOIN3d,-$97.14-35.1%,HODL,-$97.14-35.1%,$179.7828.3M,100%,276.92,0.0₅9779,0,0,1,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,UNIT4d,Sell All,-$151.65-13.5%,-$151.65-13.5%,$00,0%,"1,121.8",0.0005,970.15,0.0004,1,1
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,MAX5d,-$88.04-1.8%,"+$3,348.8+39.7%","+$3,260.76+24.6%","$4,738.71400K",35.95%,13.4K,0.012,11.8K,0.0168,2,3
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,Text2Fart5d,-$260.71-89.6%,HODL,-$260.71-89.6%,$30.122.2M,99.15%,293.33,0.0001,0,0,1,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,PIP6d,-$112.73-55.7%,HODL,-$112.73-55.7%,$89.5818.4M,100%,202.31,0.0₄1094,0,0,1,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,$R3D7d,+$808.84+11.5%,HODL,+$808.84+11.5%,"$7,816.558.5M",99.15%,"7,067.79",0.0008,0,0,2,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,tim7d,Sell All,"-$9,449.02-82.1%","-$9,449.02-82.1%",$00,0%,11.6K,0.0042,"2,058.8",0.0007,2,1
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,PTARDIO7d,"-$1,972.46-99.1%",HODL,"-$1,972.46-99.2%",$16.95615.5K,100%,"1,989.41",0.0032,0,0,1,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,$POLLY7d,-$642.97-97.6%,HODL,-$642.97-97.6%,$15.81.7M,100%,658.76,0.0003,0,0,1,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,AGENT7d,Sell All,"-$2,291.59-16.5%","-$2,291.59-16.5%",$00,0%,14K,0.003,11.6K,0.0025,3,2
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,AGENT7d,$00%,HODL,$00%,$5.26999,100%,0,0,0,0,0,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,GODAI8d,$00%,HODL,$00%,"$0.0211,500",100%,0,0,0,0,0,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,OPUS8d,Sell All,"-$3,259.95-8.1%","-$3,259.95-8.1%",$00,0%,34.1K,0.0331,37K,0.0285,2,10
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,ARTCOINS10d,"-$2,133.09-98.1%",-$206.73-9.5%,"-$2,339.82-53.7%",$40.772.4M,51.85%,"4,355.46",0.0009,"1,974.87",0.0008,3,1
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,hentAI10d,Sell All,+$232.33+10.8%,+$232.33+10.8%,$00,0%,"2,158.1",0.0006,"2,390.42",0.0007,1,1
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,SEXCOIN10d,-$397.11-92.1%,HODL,-$397.11-92.1%,$33.999.2M,100%,431.1,0.0₄4675,0,0,1,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,WYNN10d,Sell All,"-$3,112.96-36.1%","-$3,112.96-36.1%",$00,0%,"8,683.37",0.0042,"5,500.78",0.0027,2,2
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,ANITA10d,Sell All,"-$2,876.76-56.5%","-$2,876.76-56.5%",$00,0%,"5,138.7",0.0004,"2,218.26",0.0001,1,1
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,$horny10d,Sell All,"-$5,505.68-25%","-$5,505.68-25%",$00,0%,22.1K,0.0048,16.5K,0.0036,6,3
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,shartcoin10d,Sell All,+$8.71+1.6%,+$8.71+1.6%,$00,0%,528.91,0.0₄3821,537.63,0.0₄3884,1,1
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,MOW10d,-$496.71-51%,HODL,-$496.71-51%,$476.8731.7M,99.53%,978.21,0.0₄3061,0,0,2,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,Lisan10d,"-$3,138.17-98.7%",HODL,"-$3,138.17-98.7%",$40.787.4M,99.15%,"3,206.2",0.0004,0,0,1,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,TRENCHES10d,Sell All,"+$2,315.67+260%","+$2,315.67+260%",$00,0%,890.53,0.0011,"3,206.2",0.0039,1,1
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,TRENCHES10d,$00%,HODL,$00%,$5.72999,100%,0,0,0,0,0,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,WMM11d,Sell All,-$18.5K-51.8%,-$18.5K-51.8%,$00,0%,32.9K,0.0172,17.2K,0.0074,4,4
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,Blastar11d,-$13.7K-98.9%,HODL,-$13.7K-98.9%,$146.449.8M,99.15%,14K,0.0014,0,0,2,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,arXiv11d,Sell All,+$367.01+4.7%,+$367.01+4.7%,$00,0%,"7,813.3",0.0013,"8,154.98",0.0014,2,3
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,QUASAR11d,Sell All,-$26.9K-57.7%,-$26.9K-57.7%,$00,0%,46.7K,0.0136,19.7K,0.0057,10,3
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,GARY12d,Sell All,-$257.47-25.6%,-$257.47-25.6%,$00,0%,"1,012.63",0.0004,746.55,0.0003,1,1
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,CryptoMan12d,Sell All,-$725.59-41.7%,-$725.59-41.7%,$00,0%,"1,738.22",0.0002,"1,012.63",0.0001,2,1
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,MAX12d,$00%,HODL,$00%,$0.27632,100%,0,0,0,0,0,0
12ffK7BXgFS91e4YsX8fvjUVsSLDiuxZx2X47VFW57Zc,TETSUO12d,Sell All,"+$9,115.66+10.9%","+$9,115.66+10.9%",$00,0%,57.8K,0.0169,92.9K,0.02,7,10
